x1,x2,x3,x4,x5
10.10,10.04,10.13,9.98,10.14
10.28,10.13,9.78,9.94,9.83
9.95,10.36,9.90,9.96,9.96
9.88,9.89,9.98,9.74,10.14
10.12,9.83,10.14,9.81,9.86
10.16,10.22,10.08,9.95,9.93
9.65,9.98,10.19,10.03,10.15
9.85,9.86,9.90,10.16,9.94
9.93,10.13,9.89,10.04,10.10
9.79,9.86,9.94,10.02,10.04
9.92,9.98,9.85,9.98,10.17
9.97,10.03,9.89,10.05,10.01
10.06,9.91,10.00,9.69,10.05
9.93,10.27,9.98,10.00,10.10
10.21,10.15,10.05,10.07,9.99
10.00,10.06,10.02,10.13,10.09
10.05,10.10,9.97,10.24,10.13
9.96,10.07,10.03,9.93,10.06
10.22,10.10,10.09,9.67,9.73
9.99,10.13,9.85,10.15,10.08
