X1,X2,X3,X4,X5
6.01935502269333,6.30729977986315,5.42340602429343,5.2244100879143,5.2380039555428
6.18008758475574,4.99214294671245,5.79731563474806,5.20453235998569,5.41501281988135
5.59154551354063,5.54700838626001,5.33604885407352,5.20477632499911,4.83615017990982
6.10427778958802,5.30351232275697,5.35965640663336,4.88122581971115,4.50302951873364
5.9454470344622,5.50916152510198,5.04859325462391,5.1980520746289,5.15933144229447
5.71813957021755,5.79535542571791,4.98442119504143,4.94553551012207,4.62220313454922
5.98874004335425,5.74141439233486,5.49315249558015,4.83106615484925,4.65905719103267
5.43110865191327,5.48677947755662,5.32515328065782,4.7390195440755,5.06591321312181
5.36160696954521,5.93310105801594,5.55112321672121,5.41134469184557,4.38443405966675
5.64692300078551,5.8867181772516,5.13220157895689,4.84621673629917,4.21297381373043
5.70284033385474,5.89421426535481,5.97255369910746,5.04812584672225,4.92620511006037
5.64809030181978,5.5723104955019,5.43666921015147,4.73740438357794,4.92022139944409
5.48237166314139,6.01457422816093,5.71410998006939,5.01086196000138,4.82854264735924
6.0864684268995,5.89821212591016,5.33192394020281,4.130388661218,4.94900531749096
5.52174488391996,6.45263174195553,5.35124941753545,4.77391223116159,5.12467217884821
6.03306565476702,6.0190378917123,5.60701556935734,4.67206915215609,5.09113433650637
6.2361200029074,6.04707649599822,5.56672703142363,4.79566476968841,4.62942912888312
5.99933196410584,5.71589364819768,5.06392349955348,5.0360198435078,5.04299162199557
6.02793262801764,5.31348419911791,4.94019209582115,5.00239566589185,4.85197421154963
5.88655288302308,5.5886336257507,5.07063966913781,5.68331933758989,4.64833722944538
5.5551971666823,5.47266242505036,4.97526800352961,4.92846803449517,4.44200826273294
5.98685442439251,5.53080932489177,5.41787117656981,5.02499031658949,4.99409128166435
6.28824756350463,5.86654156800055,5.27662472234034,4.62920535889779,4.6939132202102
6.521473479784,5.53296658081489,5.28959678008771,4.95678520089178,4.81393035800634
5.87093812727217,5.43146605935527,4.99171106118189,4.69860700393132,4.56211574933946
